date,Q_mm,P_mm,Tmean,P_mm_filled,Tmean_filled,PET_mm,Qsim_GR4J,Qsim_GR5J,Qsim_GR6J,Qsim_mm
2021-10-23,8.266329397317074,0,11.719092331768387,0,11.719092331768387,1.556502858619288,21.28133668494327,20.884749989171823,20.72177428445392,21.059669241346867
2021-10-24,7.126800627073171,0,16.449074074074076,0,16.449074074074076,1.9776113651030587,20.515480358738753,20.6443724383726,20.69169016991084,20.277440326850478
2021-10-25,4.392002167418451,0,16.10746812386157,0,16.10746812386157,1.9273607036840663,20.273353055829226,20.624955656191908,20.691313029745,20.017375228507998
2021-10-26,14.003160804512197,13.208,10.549886621315194,13.208,10.549886621315194,1.4062090426959306,31.321867112685293,32.30462684180122,32.471934329765084,30.985069941642973
2021-10-27,11.642493859024391,0,8.658059467918623,0,8.658059467918623,1.2232378751823587,23.211690169056638,21.196386317244396,20.753784441250872,23.121335567115104
2021-10-28,9.208288722073172,0,9.44679186228482,0,9.44679186228482,1.2814398540401035,21.056043078020387,20.668564008106564,20.692088818865702,20.88222245240426
2021-10-29,44.08567055002307,20.32,13.849537037037038,20.32,13.849537037037038,1.655923404666828,38.32329592741621,39.157346058019705,39.333122135966576,38.013738249247346
2021-10-30,33.80548785585366,13.716,10.597993827160492,13.716,10.597993827160492,1.3571604026082156,35.713395690130156,33.52007529759461,33.10751032475026,35.63917591349077
2021-10-31,40.012450853414634,0.7619999999999999,11.777777777777779,0.7619999999999999,11.777777777777779,1.4458798935770651,23.555927508659202,21.210714234047416,20.75463668681337,23.516230702221605
2021-11-01,9.891749129670586,0.508,11.47530864197531,0.508,11.47530864197531,1.4063115185871722,21.143034010946575,20.66965046233598,20.692099395633203,20.98614955866443
2021-11-02,10.179186979536588,2.794,5.945987654320986,2.794,5.945987654320986,0.9254871780951678,22.160417222769745,22.44914380473982,22.545903627346622,21.926089621445296
2021-11-03,11.879357721219513,5.3340000000000005,3.7292644757433475,5.3340000000000005,3.7292644757433475,0.7311060016649085,25.280715771842175,25.34631863805292,25.308999089991822,25.02878927602536
2021-11-04,10.556081780311002,0,4.175273865414712,0,4.175273865414712,0.7612569612691371,21.996870398679164,20.99666677337533,20.73332459731184,21.829134696785598
2021-11-05,10.631945227934942,0,2.5031298904538346,0,2.5031298904538346,0.6167215525733623,20.726884646857425,20.65318519464917,20.6918343278606,20.5160998018386
2021-11-06,11.223172039350732,0,3.1226851851851873,0,3.1226851851851873,0.6614670282927912,20.34190357916093,20.625679524348016,20.691314842691384,20.098674281577743
2021-11-07,11.893496141741977,0,5.982253086419753,0,5.982253086419753,0.886119121793462,20.21605717067676,20.623417174286725,20.691308309327574,19.95531654236146
2021-11-08,26.28861076680768,0,9.475743348982787,0,9.475743348982787,1.1573547077298516,20.17393550181734,20.623230692594547,20.69130822715539,19.90481603764574
2021-11-09,13.140118040487806,0,10.89043209876543,0,10.89043209876543,1.258988810422691,20.159726607777138,20.623215318488544,20.691308226121887,19.886868607993833
2021-11-10,10.279902989268294,0,14.226984126984128,0,14.226984126984128,1.5097195221175428,20.154920942366896,20.623214050982853,20.691308226108895,19.880470316712504
2021-11-11,10.907475950121954,0,11.429783950617285,0,11.429783950617285,1.2786659147308286,20.15329415311323,20.623213946484242,20.691308226108724,19.87818677970175
2021-11-12,44.08673209903705,41.148,12.219135802469136,41.148,12.219135802469136,1.3283751724678812,59.03674869544378,60.29920035572361,60.48789999726411,58.65239304376134
2021-11-13,24.10179297318029,0,4.1017214397496105,0,4.1017214397496105,0.6960877562055016,24.475679009672547,21.316242058223203,20.764149887881914,24.513856121995882
2021-11-14,16.719790649707942,0.508,2.2731481481481493,0.508,2.2731481481481493,0.5514977237188209,21.36299045401012,20.677584268928207,20.692217329288667,21.23356580973889
2021-11-15,16.480857796247562,0,3.423611111111112,0,3.423611111111112,0.6333636245186013,20.54030618419943,20.627678807097972,20.691319659089984,20.332815168481453
2021-11-16,16.07051549385366,0,6.322530864197529,0,6.322530864197529,0.8442818274747618,20.2814727435803,20.62358192076428,20.691308369904874,20.036395357317218
2021-11-17,11.974985053943781,0,9.284600389863549,0,9.284600389863549,1.0564760955463905,20.19589203427141,20.62324427443813,20.691308227917297,19.933458536173063
2021-11-18,15.940683027439025,0,11.182316118935837,0,11.182316118935837,1.187247813214901,20.167140151231987,20.62321643823023,20.691308226131472,19.897058039263406
2021-11-19,14.148174410344684,1.27,2.6531746031746035,1.27,2.6531746031746035,0.5570777880024699,20.788908329883192,21.31074735946403,21.392587961432547,20.509120529022155
2021-11-20,12.902556488613465,0,-0.42052469135802384,0,-0.42052469135802384,0.3307735743273256,20.469756193981812,20.7034019447587,20.700949685004016,20.20806280574162
2021-11-21,13.410608491687004,0,0.7955246913580262,0,0.7955246913580262,0.41545020429830415,20.258349300535087,20.629786638034723,20.691429365693985,19.993410309344235
2021-11-22,19.371184298560976,0.254,5.882716049382716,0.254,5.882716049382716,0.7743687701217815,20.188145980000307,20.62375556009394,20.691309749701034,19.918299667192457
2021-11-23,17.023184130771952,0,-0.29761904761904706,0,-0.29761904761904706,0.33219167063982813,20.164526453968595,20.62325858906422,20.691308245271433,19.89166866008908
2021-11-24,14.584098035853659,0,0.8888888888888897,0,0.8888888888888897,0.41308901208039356,20.156545035086133,20.62321761838307,20.69130822634974,19.88218257042179
2021-11-25,12.993983512921913,0,5.230709876543212,0,5.230709876543212,0.712749972624416,20.15384401412814,20.623214240595992,20.69130822611175,19.87879801019146
2021-11-26,16.339953194429903,0.7619999999999999,4.718954248366012,0.7619999999999999,4.718954248366012,0.6725998275996588,20.224008648037334,20.70084091505351,20.770591538826352,19.947918977179405
2021-11-27,15.269671276109166,0,0.3549382716049365,0,0.3549382716049365,0.3682009009113528,20.18958931570245,20.632889307398024,20.6924850031688,19.915591544113347
2021-11-28,15.356945950439446,0,4.299382716049382,0,4.299382716049382,0.6354300982153357,20.165013611580896,20.624011055695696,20.69132302496499,19.89070506605367
2021-11-29,17.004744795,0,1.9236111111111103,0,1.9236111111111103,0.470243072234008,20.156709830859064,20.623279651170243,20.691308412238463,19.881838901504466
2021-11-30,12.551974954507752,0,3.225352112676055,0,3.225352112676055,0.5554126094786215,20.153899803567327,20.623219354819646,20.69130822844974,19.87867533689674
2021-12-01,12.396823011569426,0,4.068672839506174,0,4.068672839506174,0.6089399185833547,20.152948388622338,20.62321438375516,20.69130822613817,19.87754591557598
2021-12-02,11.580917047997325,1.27,9.527006172839505,1.27,9.527006172839505,0.9702346293966326,20.412203607171904,20.9064112072653,20.980415451122703,20.134006529601493
2021-12-03,15.761669931219515,0,13.323302469135804,0,13.323302469135804,1.2175231396185537,20.285738531465114,20.657719675578047,20.69548825052055,20.015571240638046
2021-12-04,10.717022071050001,0,9.266835016835017,0,9.266835016835017,0.9433636865234687,20.197319199887712,20.62605161983746,20.691360776282696,19.926122227260556
2021-12-05,10.845160810050661,0,7.37037037037037,0,7.37037037037037,0.8141786897227978,20.16762150424833,20.623447839618493,20.691308887045636,19.89445071748208
2021-12-06,9.804265352880256,0,10.655864197530866,0,10.655864197530866,1.0259098904366606,20.157591902175028,20.623233220695923,20.69130823442154,19.883174630629625
2021-12-07,12.88276033135094,1.016,1.5339966832504162,1.016,1.5339966832504162,0.4264007081638213,20.674430254494002,21.18997935559009,21.269548455061823,20.39401884832452
2021-12-08,10.834471813044384,0,3.15895061728395,0,3.15895061728395,0.5303881391663016,20.415162629770883,20.690177109947506,20.699377199132286,20.15054885950988
2021-12-09,11.38610199378293,0,-0.40123456790123413,0,-0.40123456790123413,0.29787685393185087,20.240351725165915,20.628707909783877,20.69140962521883,19.973428687154815
2021-12-10,14.626593470460733,0,5.319223985890654,0,5.319223985890654,0.6661864467168959,20.182105489246908,20.623666703040634,20.691309501424534,19.91123282926013
2021-12-11,24.261022254309037,15.748,12.011737089201878,15.748,12.011737089201878,1.094887627736303,34.07526937273774,35.148866563042425,35.322660402280334,33.72226985650913
2021-12-12,29.422884213750002,13.97,3.52582159624413,13.97,3.52582159624413,0.5472044787623568,36.41415356741304,34.548744127702264,34.16838819259189,36.30063068335552
2021-12-13,18.05277070508831,0,1.4691358024691366,0,1.4691358024691366,0.414165531007063,23.62968738560687,21.223671440679084,20.755907974183543,23.592895067644086
2021-12-14,15.839656603193015,0,4.084876543209875,0,4.084876543209875,0.580342011737591,21.16133309650882,20.670631064121082,20.692115169354732,21.005919566202728
2021-12-15,13.997487259228098,0,4.045524691358023,0,4.045524691358023,0.5767135783485382,20.478656899306387,20.62710977624122,20.69131837442565,20.26014957701756
2021-12-16,11.754829866219513,0,7.066358024691357,0,7.066358024691357,0.7680494305963532,20.2612749268864,20.6235350359063,20.691308353747267,20.01141662467621
2021-12-17,15.188958165365854,0,13.331768388106417,0,13.331768388106417,1.1652787871232708,20.18912694734597,20.62324040924256,20.691308227714078,19.92465689653364
2021-12-18,8.48368570390244,0,11.4375,0,11.4375,1.0437594673129476,20.164857559194935,20.623216119568237,20.69130822612891,19.893929730414484
2021-12-19,16.825835971097565,7.874,7.0694444444444455,7.874,7.0694444444444455,0.7658052763232865,26.7529094894606,27.631308842628044,27.780184224816985,26.42825524961946
2021-12-20,11.258701358026713,0,-1.1766975308641985,0,-1.1766975308641985,0.2424732258244691,22.433938767158747,21.090506764031304,20.74354085118112,22.282306355322696
2021-12-21,11.100147183658539,0,-0.34490740740740755,0,-0.34490740740740755,0.2951721869814306,20.849447454263178,20.660465947288976,20.69196154141936,20.64923702551819
2021-12-22,10.948205306341464,0,3.231481481481483,0,3.231481481481483,0.5220055652515803,20.381037981046866,20.626276857380994,20.691316442497076,20.14327134614012
2021-12-23,10.38739594390244,0,1.5430359937402196,0,1.5430359937402196,0.41510166484536215,20.229055672980635,20.62346640120934,20.691308329448816,19.970892870346496
2021-12-24,9.489299160861348,0,5.655092592592593,0,5.655092592592593,0.6764540206448685,20.178309049700133,20.623234750939133,20.69130822740847,19.910335074596986
2021-12-25,13.76743470073171,0,10.640432098765432,0,10.640432098765432,0.9939469942668319,20.16120452926159,20.62321565307498,20.69130822612507,19.88883404966743
2021-12-26,9.085588734146343,0,14.530864197530867,0,14.530864197530867,1.242786234907639,20.15542109440105,20.623214078567592,20.691308226108934,19.881171511184462
2021-12-27,8.62863768585366,0,7.6603174603174615,0,7.6603174603174615,0.8068755100465628,20.153463495969895,20.62321394875847,20.691308226108724,19.878437099621976
2021-12-28,12.251047878658538,2.54,14.062597809076683,2.54,14.062597809076683,1.2171853233273946,21.33699840551687,21.908925989770644,22.0011967176341,21.049834830133094
2021-12-29,7.6964702606652455,0.508,14.849537037037035,0.508,14.849537037037035,1.270171952398327,20.72261507700695,20.764072773649318,20.708072197937927,20.471531010741312
2021-12-30,10.7677132837335,10.414,12.480709876543209,10.414,12.480709876543209,1.1213276224815567,29.044075988720763,29.816061793322092,29.963827885375633,28.727566780407116
2021-12-31,11.971318856963418,0.508,8.637345679012347,0.508,8.637345679012347,0.8771770619233624,22.864661768773814,21.149615503110624,20.749338706013184,22.7476277707693
2022-01-01,24.44855635646342,28.956000000000003,13.939542483660132,28.956000000000003,13.939542483660132,1.2220946532541896,47.8676053212384,48.25909944939873,48.4031416439861,47.59352043210324
2022-01-02,289.66407669365856,40.894,14.173611111111112,40.894,14.173611111111112,1.241283079658874,63.241308580042144,60.82901893153161,60.402601613269624,63.189432883227404
2022-01-03,670.7306250985556,35.559999999999995,2.8896713615023493,35.559999999999995,2.8896713615023493,0.5125965641124152,58.904026208038914,56.24140758327175,55.79864475523066,58.88643888646598
2022-01-04,595.2065191414391,14.985999999999999,-3.311728395061729,14.985999999999999,-3.311728395061729,0.11010969856597642,38.81357405902234,36.079680037923644,35.627957904801335,38.8075652931313
2022-01-05,297.6962036066214,0,0.3263888888888881,0,0.3263888888888881,0.3488168414270488,23.791496538241752,21.239409765690425,20.757354170974544,23.773334758827858
2022-01-06,195.1652646779408,0,4.0042735042735025,0,4.0042735042735025,0.5922533203234651,21.201063814809356,20.671819701341292,20.692133108127017,21.051941056963116
2022-01-07,198.16835788849494,9.143999999999998,-5.238888888888889,9.143999999999998,-5.238888888888889,0,29.058433356659698,29.66044347630474,29.815013990426376,28.78636638671932
2022-01-08,145.1424211446005,0,-7.313271604938271,0,-7.313271604938271,0,22.85818911730018,21.146203416810373,20.749101785210808,22.74621868356985
2022-01-09,122.56415587865855,0,1.9699074074074079,0,1.9699074074074079,0.4651849666835826,20.963924380288503,20.664744701334854,20.69203088695469,20.780171295821482
2022-01-10,619.0625300404417,15.239999999999998,0.1457326892109497,15.239999999999998,0.1457326892109497,0.3452795524530905,34.582727278707864,35.393426111966946,35.564237873863085,34.276191125938524
2022-01-11,562.4482774022928,0,-3.4282407407407414,0,-3.4282407407407414,0.10605633223814358,23.5637134383728,21.23502587650276,20.757307723604296,23.507421520038278
2022-01-12,329.93116612356994,0,-0.5185185185185186,0,-0.5185185185185186,0.30415756975813435,21.1449712252606,20.67148887657393,20.692132532074588,20.9838695197676
2022-01-13,271.472819001939,0,0.7206790123456801,0,0.7206790123456801,0.39061420597382773,20.473604814820735,20.627180008269043,20.691318592764354,20.253032182111873
2022-01-14,334.9130772665854,1.016,1.2962962962962976,1.016,1.2962962962962976,0.43261685085662077,20.774811875226412,21.18421955862188,21.263346956071132,20.51902785047853
2022-01-15,223.8252339643903,0,0.16589506172839683,0,0.16589506172839683,0.35725096581664323,20.445737718332076,20.689525225364203,20.699296674871363,20.191027739678766
2022-01-16,189.09393387731708,0,-4.929012345679013,0,-4.929012345679013,0.004942073979455538,20.25044247318375,20.628654683091575,20.691408614165937,19.987502821158678
2022-01-17,262.1198589439025,25.907999999999998,-2.1566358024691348,25.907999999999998,-2.1566358024691348,0.19931673309151507,45.02108386549834,46.19288087556711,46.37726877981175,44.653211099215575
2022-01-18,179.8094304387805,0,-2.2955246913580236,0,-2.2955246913580236,0.1909249165916985,24.179641203061696,21.294634990883612,20.76243495681743,24.182867090656124
2022-01-19,120.0955419782927,0,-1.4259259259259258,0,-1.4259259259259258,0.25415115200615784,21.294108442942104,20.675969517260597,20.692196087126938,21.153797150673505
2022-01-20,577.0960257256098,2.54,1.0679012345679024,2.54,1.0679012345679024,0.4347040973615281,22.425280020661486,22.682713394643258,22.782291471847916,22.196750821993355
2022-01-21,778.3653329926831,0,-5.122719734660033,0,-5.122719734660033,0,21.12053956651345,20.831999799036886,20.71591762442073,20.907712855354298
2022-01-22,515.7144812685367,0,-6.837962962962964,0,-6.837962962962964,0,20.466138602280893,20.640257633213924,20.691703767396206,20.228432931322562
2022-01-23,421.40147922292687,0,-2.128858024691359,0,-2.128858024691359,0.21053650125682968,20.257173455311616,20.62462101440391,20.691313409884106,20.00047671262255
2022-01-24,420.31589134609766,0,1.4390432098765435,0,1.4390432098765435,0.47599521746462703,20.187751641973442,20.62332993073289,20.691308291306715,19.920795742876713
2022-01-25,469.5267585804878,0,3.916666666666665,0,3.916666666666665,0.6645924242476254,20.16439334480787,20.62322350002805,20.69130822692874,19.892556593493588
2022-01-26,855.6645658112197,0,-1.9783950617283945,0,-1.9783950617283945,0.22710268707774298,20.156500005592527,20.623214725503594,20.691308226119038,19.88249922798403
2022-01-27,764.3186006414635,0,-4.381944444444445,0,-4.381944444444445,0.046849074926340786,20.153828769836977,20.62321400209465,20.691308226108855,19.878911038324603
2022-01-28,650.7003698919514,0,-1.0432098765432092,0,-1.0432098765432092,0.302523882615952,20.152924334898245,20.623213942453713,20.691308226108724,19.877630074369996
2022-01-29,579.5232364141465,1.27,-4.993827160493826,1.27,-4.993827160493826,4.7609769404077497e-4,21.28834311389132,21.856601280179433,21.94801078434378,21.00152941470094
2022-01-30,437.7955829334147,0,-6.104938271604937,0,-6.104938271604937,0,20.70111606302128,20.75915747223074,20.707581119995503,20.44900240806344
2022-01-31,368.34629246165855,0,-3.6481481481481475,0,-3.6481481481481475,0.10613810051741641,20.33363355035018,20.634315622994286,20.691512760121554,20.07600945531941
