Site,Reach,Dist,Date,Li_ppb,Na_ppb,Mg_ppb,Al_ppb,Si_ppb,P_ppb,S_ppm_as_SO4,Cl_ppm,K_ppb,Ca_ppb,Ti_ppb,V_ppb,Cr_ppb,Fe_ppb,Mn_ppb,Co_ppb,Ni_ppb,Cu_ppb,Zn_ppb,As_ppb,Se_ppb,Sr_ppb,Mo_ppb,Ag_ppb,Cd_ppb,Sn_ppb,Ba_ppb,Pb_ppb,U_ppb
Beast200,Beast,200,9/10/21,1.4,"3,587.30","1,553.80",25.7,"4,142.50",11.2,6.7,3.4,"1,241.40","2,652.40",0.6,0.1,0.2,109,3.8,0.1,1.1,0.2,12.6,0.2,-0.4,15.4,-0.1,0,0,0.1,38.8,0,0
Beast300,Beast,300,9/10/21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beast400,Beast,400,9/10/21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beast500,Beast,500,9/10/21,1.6,"1,303.30","1,350.00",56,"4,237.20",1.6,6.4,0.3,"1,242.40","2,157.40",1.2,0,0.2,55.7,22,0.3,1.6,0.3,4.4,0.1,-0.4,13.2,-0.1,0,0,0.1,36.9,0,0
Beast600,Beast,600,9/10/21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beast700,Beast,700,9/10/21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beast800,Beast,800,9/10/21,1.5,"1,372.70","1,166.20",71.4,"4,313.20",9.9,6.2,0.3,"1,273.80","1,707.00",-1.4,0,0.2,57.5,8.4,0.1,1.1,0.2,12.1,0.1,-0.6,9.6,-0.1,0,0,0,30.4,0,0
Beast900,Beast,900,9/10/21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beast1000,Beast,1000,9/10/21,2.8,"3,236.20","3,027.70",16.8,"6,034.80",4,5.9,0.3,"1,384.90","8,570.80",0.8,0,0.3,42.5,62.6,0.3,1.3,0.1,2.4,0.2,-0.4,34.1,-0.1,0,0,0.3,58,0.1,0
Beast1100,Beast,1100,9/10/21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beast1200,Beast,1200,9/10/21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beast1300,Beast,1300,9/10/21,0.9,"1,676.00","1,408.80",43.6,"4,459.00",5.4,6.2,0.3,"1,502.80","2,487.50",0.8,0,0.2,176.3,65.5,0.7,2.1,0.3,3.2,0.3,-0.3,14,-0.1,0,0,0.1,35.6,0.1,0
MH000,MDH,0,9/10/21,2.5,"2,734.90","2,019.70",9.5,"4,819.90",9.7,5.9,1,"1,570.80","2,266.90",0.5,0,0.1,-1.9,1.1,0,1,0.2,11.9,0,-0.3,14.6,-0.1,0,0,-0.2,40,0,0
MH100,MDH,100,9/10/21,2.8,"3,186.60","2,368.50",12.1,"5,172.60",15,6.3,1,"1,672.70","2,760.60",0.6,0,0.1,30.9,8.8,0.1,1,0.3,15.1,0.1,-0.1,17,-0.1,0,0,0.1,47,0,0
MH200,MDH,200,9/10/21,3.4,"3,016.70","2,695.30",8.3,"5,334.40",13.4,6.7,0.4,"1,676.00","3,342.90",0.5,0,0.1,127,8.8,0.1,0.8,0.2,17,0.1,-0.2,18.7,0,0,0,0.8,43,0,0
MH300,MDH,300,9/10/21,3,"3,004.70","2,929.60",7.4,"5,158.50",7.7,6.9,0.4,"1,710.00","3,818.00",0.6,0,0.2,18.1,9.6,0.1,0.9,0.2,13.2,0.1,-0.2,21.3,-0.1,0,0,0.4,46.7,0,0
MH400,MDH,400,9/10/21,3.4,"3,202.70","2,445.20",10.4,"5,519.40",9.6,7.2,0.4,"1,712.10","3,220.90",0.5,0,0.1,11.5,0.9,0,1,0.1,10.4,0,0.1,18.1,-0.1,0,0,0.2,41.9,0,0
MH500,MDH,500,9/10/21,5.7,"3,897.70","2,781.10",8.3,"6,238.10",17.5,7.9,0.4,"1,791.20","3,908.20",0.7,0,0.1,13.3,6.4,0.1,0.8,0.2,8.8,0,-0.1,24.4,-0.1,0,0,0.1,46.9,0,0
MH600,MDH,600,9/10/21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MH700,MDH,700,9/10/21,2.3,"3,759.80","2,078.40",9.3,"5,334.40",10.1,6.8,0.4,"1,688.00","2,790.50",-2.6,0,0.1,7.8,0.4,0,1,0.2,9.7,0,-0.2,18.2,-0.1,0,0,0.1,41.5,0,0
MH800,MDH,800,9/10/21,3.4,"4,793.40","3,130.30",11.3,"5,526.50",4.1,7.3,0.4,"1,723.60","4,595.80",0.6,0,0.2,10.7,2.2,0,1.3,0.2,7.2,0,-0.2,32.9,-0.1,0,0,0,52,0,0
MH900,MDH,900,9/10/21,8.1,"7,841.90","4,286.90",5.9,"5,982.50",9,8.5,0.3,"1,816.40","7,356.10",0.5,0,0.2,5.5,0.9,0,0.6,0.1,9,0.1,0,66.5,-0.1,0,0,0,66.4,0,0
MH1000,MDH,1000,9/10/21,0.7,"2,275.40","1,898.70",20.3,"4,765.30",7.6,8.4,0.5,"1,598.40","2,772.80",0.7,0,0.1,16,6.7,0.1,0.7,0.1,5.8,0.1,-0.1,16,-0.1,0,0,0,33.3,0,0
MH1100,MDH,1100,9/10/21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MH1200,MDH,1200,9/10/21,1.6,"3,845.10","5,282.50",32.8,"5,134.10",8.2,9.2,0.5,"1,652.40","8,466.20",1.2,0,0.2,18.9,0.7,0,0.5,0.2,9.2,0.2,-0.1,40.7,-0.1,0,0,0,57.1,0,0
MH1300,MDH,1300,9/10/21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MH1400,MDH,1400,9/10/21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSL,Mine,,9/10/21,8.7,"1,549.20","5,365.80",23.6,"4,289.30",3.5,28.3,0.3,"1,237.50","4,389.70",0.9,-0.1,0.1,24.2,12.4,0.1,4.5,0.3,14.4,0,-0.3,15.5,-0.1,0,0,0,30,0,0
MSTR1,Mine,,9/10/21,10,"1,490.60","5,591.20",22.5,"4,298.40",4.7,30.7,0.2,"1,152.00","4,411.40",0.7,-0.1,0.1,47,76,1,7.1,0.3,20.3,0,-0.2,14.6,-0.1,0,0,0,30.3,0,0
MSU,Mine,,9/10/21,2.6,"2,384.10","2,843.70",20.1,"5,288.90",6.5,9.4,0.5,"1,846.60","3,233.50",0.7,0,0.1,15.6,0.9,0,1.1,0.3,10.9,0,0.1,19.8,-0.1,0,0,-0.1,38.7,0,0
B0,Beast,0,3/8/22,1.1,"1,015.60",814.8,35.4,"3,154.40",4.6,4.5,-0.1,786.5,"1,240.20",0.7,0,0,14,0.5,0,0.7,0.1,20.1,0.1,0.7,7.3,0.1,0,0,-0.4,30.8,0,0
B100,Beast,100,3/8/22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B200,Beast,200,3/8/22,1.1,955.7,765.6,41.8,"3,123.80",10,4.5,-0.2,775.9,"1,176.80",0.8,0,0.1,21.9,1.3,0.1,0.7,0.2,7.7,0.1,0.7,6.9,0,0,0,-0.4,21.7,0,0
B300,Beast,300,3/8/22,1,915.7,764.4,42.7,"3,134.40",0.8,4.6,-0.2,790.1,"1,220.70",0.7,0,0.1,24.2,0.6,0,0.5,0.3,1.8,0.1,0.7,6.8,0,0,0,-0.2,18.5,0,0
B400,Beast,400,3/8/22,1,908.8,776.2,51.5,"3,141.00",-0.1,4.4,-0.3,803,"1,168.10",0.9,0,0.1,26.9,0.6,0,0.7,0.1,0.8,0.1,0.7,6.8,0,0,0,-0.4,19,0,0
B500,Beast,500,3/8/22,0.9,"1,094.30",704.5,47.3,"2,929.20",11.6,4.2,-0.3,717.7,974.9,1,0,0.1,27.2,0.4,0.1,0.7,0.1,30.1,0.1,0.9,6,0.2,0,0,0.4,36.2,0,0
B600,Beast,600,3/8/22,1.1,795.4,722.5,69,"3,017.60",7.8,4,-0.3,787.7,965.1,1.2,0.1,0.1,36.3,0.7,0.1,0.9,0,5.3,0.1,0.8,6,0.1,0,0,0,21.2,0,0
B700,Beast,700,3/8/22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B800,Beast,800,3/8/22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B900,Beast,900,3/8/22,0.9,822.4,737.9,135.3,"3,162.10",1.2,4.1,-0.3,860.5,947,0.3,0.1,0.1,70.6,1.3,0.1,1,0,2.1,0.1,0.6,6.1,0,0,0,-0.2,21.2,-0.1,0
B1000,Beast,1000,3/8/22,0.9,871.8,791.2,100.9,"3,175.30",0.9,4.3,-0.3,927.1,"1,075.50",1.5,0.1,0.1,50.4,2.2,0.1,0.7,0.1,1.3,0.1,0.7,6.6,0,0,0,-0.3,22.5,0,0
B1100,Beast,1100,3/8/22,0.9,889.3,806.6,106.5,"3,248.20",0.7,4.4,-0.3,939.5,"1,069.80",1.7,0.1,0.1,55.8,4.1,0.1,0.8,0.1,1.3,0.1,0.8,6.7,0,0,0,-0.3,21.8,0,0
B1200,Beast,,3/8/22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1300,Beast,1300,3/8/22,0.7,"1,153.70",801.6,56.6,"3,196.00",7.7,4.7,-0.3,881.6,"1,123.60",1,0,0.1,33.1,1,0.1,0.7,0,20.9,0.1,0.6,7,0,0,0,-0.3,34.1,0,0
B1400,Beast,,3/8/22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MH000,MDH,0,3/8/22,1.9,"1,430.80","1,170.20",16.8,"3,589.90",8,4.2,-0.3,"1,002.70","1,287.30",0.4,0,0,12.5,0.7,0.1,0.5,0,22.3,0,0.8,7.9,-0.1,0,0,-0.5,34.8,0,0
MH100,MDH,100,3/8/22,2,"1,418.40","1,142.50",22.4,"3,599.10",7.5,4.1,-0.3,999.4,"1,298.00",0.6,0,0,17.3,1,0.1,0.6,0.1,21.6,0.1,0.8,7.9,-0.1,0,0,-0.6,35.2,0,0
MH200,MDH,200,3/8/22,2,"1,275.20","1,154.40",20.7,"3,685.40",2.4,3.9,-0.4,"1,030.40","1,380.00",0.6,0,0,27.8,1.7,0.1,0.4,0,8.2,0.1,0.7,8.1,-0.1,0,0,-0.6,24.8,0,0
MH300,MDH,300,3/8/22,2.1,"1,288.40","1,145.70",23.1,"3,700.80",2.1,3.8,-0.3,"1,032.20","1,396.30",0.6,0,0,10.3,0.5,0,0.4,0,8.3,0.1,0.8,8.2,-0.1,0,0,-0.6,25.6,0,0
MH400,MDH,400,3/8/22,2,"1,288.20","1,061.90",27.5,"3,677.00",2.1,4.1,-0.3,"1,048.80","1,265.60",0.8,0,0,15.2,0.5,0.1,0.4,0,7.7,0.1,1.1,8.2,0.2,0,0,0.1,23.8,0,0
MH500,MDH,500,3/8/22,1.9,"1,291.40","1,036.70",38.8,"3,648.60",3,4,-0.4,"1,061.20","1,232.90",1,0,0.1,22.2,0.9,0.1,0.5,0.1,6.6,0.1,0.7,8.3,0.1,0,0,-0.2,23.9,0,0
MH600,MDH,600,3/8/22,1.4,"1,409.50","1,109.00",21.6,"3,657.00",0.9,4.2,-0.4,"1,079.70","1,398.30",0.7,0,0.1,9.8,0.3,0,0.4,0.1,6.6,0,0.8,8.9,0,0,0,-0.3,24,0,0
MH700,MDH,700,3/8/22,1.7,"1,443.60","1,154.60",28.9,"3,698.60",2.4,4,-0.4,"1,069.50","1,506.60",0.8,0,0,17.3,0.6,0.1,0.4,0,7.3,0.1,0.8,9.8,0,0,0,-0.4,27.3,0,0
MH800,MDH,800,3/8/22,1.4,"1,386.30","1,084.40",35.1,"3,627.10",1.9,4.1,-0.4,"1,027.10","1,459.40",0.7,0,0,19.5,0.6,0.1,0.5,0,8.6,0.1,0.8,9.6,0,0,0,-0.5,25.4,0,0
MH900,MDH,900,3/8/22,1.2,"1,448.70","1,081.90",42.8,"3,683.10",1.7,4.4,-0.4,"1,001.90","1,564.40",0.8,0,0.1,20.9,1,0.1,0.3,0,6.1,0.1,0.7,9.7,-0.1,0,0,-0.5,22.8,0,0
MH1000,MDH,1000,3/8/22,0.6,"1,264.40",919.8,71.7,"3,651.90",2.1,4.6,-0.3,984,"1,293.30",1.7,0.1,0.1,38.2,0.8,0.1,0.4,0,7.5,0.1,0.8,7.4,-0.1,0,0,-0.5,20.6,0,0
MH1100,MDH,1100,3/8/22,0.6,"1,294.80","1,061.10",128.5,"3,725.60",1.8,4.6,-0.4,"1,043.30","1,412.50",2.9,0.1,0.1,73.1,0.8,0.1,0.5,0,7.1,0.1,0.8,8.4,-0.1,0,0,-0.6,22.8,0,0
MH1200,MDH,1200,3/8/22,0.8,"1,341.70","1,328.60",148.7,"3,888.50",1.8,4.9,-0.4,"1,019.00","1,756.40",3,0.1,0.1,86.5,1.7,0.1,0.3,0.1,5.4,0.2,0.7,10.4,-0.1,0,0,-0.6,27.5,0,0
MH1300,MDH,1300,3/8/22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MH1400,MDH,1400,3/8/22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RT0,RT,0,3/8/22,1.3,696.6,583.5,100.6,"3,118.90",1.6,2.8,-0.4,961.4,272.3,2,0.1,0.1,31.8,7.8,0.7,1.9,0.1,9.9,0,0.7,4,-0.1,0,0,-0.6,29.9,0,0